Date,Market Cap,Volume,Open,Close
3/4/2024,"$1,236,312,176,673 ","$27,108,369,390 ","$63,053 ","$68,187 "
3/3/2024,"$1,219,383,305,483 ","$25,198,213,831 ","$62,068 ","$63,053 "
3/2/2024,"$1,227,712,629,022 ","$36,699,193,361 ","$62,427 ","$62,068 "
3/1/2024,"$1,206,725,326,872 ","$67,692,687,247 ","$61,298 ","$62,427 "
2/29/2024,"$1,225,273,849,242 ","$87,218,855,804 ","$62,559 ","$61,298 "
2/28/2024,"$1,118,963,733,317 ","$51,983,799,587 ","$57,004 ","$62,559 "
2/27/2024,"$1,071,049,856,129 ","$35,407,941,476 ","$54,478 ","$57,004 "
2/26/2024,"$1,016,549,456,019 ","$15,455,098,216 ","$51,752 ","$54,478 "
2/25/2024,"$1,012,485,917,140 ","$15,528,276,124 ","$51,553 ","$51,752 "
2/24/2024,"$999,139,504,636 ","$22,637,679,780 ","$50,841 ","$51,553 "
2/23/2024,"$1,007,314,397,269 ","$23,733,644,209 ","$51,320 ","$50,841 "
2/22/2024,"$1,018,869,881,156 ","$30,624,246,621 ","$51,843 ","$51,320 "
2/21/2024,"$1,026,424,315,286 ","$34,499,627,551 ","$52,287 ","$51,843 "
2/20/2024,"$1,016,146,442,772 ","$22,555,121,072 ","$51,764 ","$52,287 "
2/19/2024,"$1,023,586,119,011 ","$17,025,880,431 ","$52,138 ","$51,764 "
2/18/2024,"$1,015,778,284,419 ","$19,851,884,283 ","$51,685 ","$52,138 "
2/17/2024,"$1,024,019,280,535 ","$24,850,432,118 ","$52,166 ","$51,685 "
2/16/2024,"$1,020,725,811,640 ","$31,991,869,491 ","$51,958 ","$52,166 "
2/15/2024,"$1,017,596,576,730 ","$41,805,076,940 ","$51,790 ","$51,958 "
2/14/2024,"$974,585,308,372 ","$37,331,081,151 ","$49,732 ","$51,790 "
2/13/2024,"$981,463,410,833 ","$37,684,440,687 ","$50,050 ","$49,732 "
2/12/2024,"$945,579,645,769 ","$13,196,875,461 ","$48,190 ","$50,050 "
2/11/2024,"$938,210,772,985 ","$16,461,159,742 ","$47,769 ","$48,190 "
2/10/2024,"$925,541,926,939 ","$41,993,952,311 ","$47,143 ","$47,769 "
2/9/2024,"$890,468,166,608 ","$27,709,605,138 ","$45,338 ","$47,143 "
2/8/2024,"$868,672,050,078 ","$21,200,879,625 ","$44,247 ","$45,338 "
2/7/2024,"$845,393,687,726 ","$17,131,113,853 ","$43,088 ","$44,247 "
2/6/2024,"$836,630,860,392 ","$18,682,275,992 ","$42,648 ","$43,088 "
2/5/2024,"$835,416,357,159 ","$11,250,814,654 ","$42,599 ","$42,648 "
2/4/2024,"$842,668,526,995 ","$7,779,819,312 ","$42,977 ","$42,599 "
2/3/2024,"$846,561,992,602 ","$18,624,791,426 ","$43,171 ","$42,977 "
2/2/2024,"$844,585,195,328 ","$22,443,682,769 ","$43,069 ","$43,171 "
2/1/2024,"$835,421,372,331 ","$22,197,944,957 ","$42,583 ","$43,069 "
1/31/2024,"$839,294,111,913 ","$24,526,664,209 ","$42,892 ","$42,583 "
1/30/2024,"$849,198,976,216 ","$20,680,322,267 ","$43,268 ","$42,892 "
1/29/2024,"$824,240,091,063 ","$13,669,905,345 ","$42,027 ","$43,268 "
1/28/2024,"$826,254,540,126 ","$10,694,258,830 ","$42,120 ","$42,027 "
1/27/2024,"$820,989,861,818 ","$22,681,602,409 ","$41,863 ","$42,120 "
1/26/2024,"$783,180,536,825 ","$13,376,924,613 ","$39,938 ","$41,863 "
1/25/2024,"$786,928,905,377 ","$22,217,129,215 ","$40,124 ","$39,938 "
1/24/2024,"$779,133,357,030 ","$29,683,327,703 ","$39,833 ","$40,124 "
1/23/2024,"$775,020,895,102 ","$31,202,848,830 ","$39,505 ","$39,833 "
1/22/2024,"$814,709,364,023 ","$8,032,696,834 ","$41,542 ","$39,505 "
1/21/2024,"$817,217,622,404 ","$9,533,488,489 ","$41,626 ","$41,542 "
1/20/2024,"$815,241,536,115 ","$24,407,872,955 ","$41,601 ","$41,626 "
1/19/2024,"$808,845,819,110 ","$25,160,430,945 ","$41,261 ","$41,601 "
1/18/2024,"$836,987,995,503 ","$21,299,064,875 ","$42,714 ","$41,261 "
1/17/2024,"$845,770,850,850 ","$22,023,116,042 ","$43,148 ","$42,714 "
1/16/2024,"$835,225,973,286 ","$22,634,527,324 ","$42,587 ","$43,148 "
1/15/2024,"$822,907,066,751 ","$16,968,959,097 ","$41,801 ","$42,587 "
1/14/2024,"$839,198,740,717 ","$19,424,747,840 ","$42,848 ","$41,801 "
1/13/2024,"$838,383,512,177 ","$45,913,301,456 ","$42,894 ","$42,848 "
1/12/2024,"$909,846,384,596 ","$49,198,128,806 ","$46,314 ","$42,894 "
1/11/2024,"$915,259,343,942 ","$52,030,057,181 ","$46,632 ","$46,314 "
1/10/2024,"$902,166,917,320 ","$39,887,918,406 ","$46,106 ","$46,632 "
1/9/2024,"$919,666,641,903 ","$40,821,502,384 ","$46,936 ","$46,106 "
1/8/2024,"$856,926,317,087 ","$15,144,653,805 ","$43,884 ","$46,936 "
1/7/2024,"$861,211,168,830 ","$11,841,102,132 ","$43,956 ","$43,884 "
1/6/2024,"$863,690,851,062 ","$29,364,675,804 ","$44,114 ","$43,956 "
1/5/2024,"$866,352,960,237 ","$26,123,887,043 ","$44,196 ","$44,114 "
1/4/2024,"$838,208,392,904 ","$43,146,162,598 ","$42,822 ","$44,196 "
1/3/2024,"$878,395,004,793 ","$39,089,952,716 ","$44,995 ","$42,822 "
1/2/2024,"$863,804,922,702 ","$16,958,999,498 ","$44,169 ","$44,995 "
1/1/2024,"$827,596,236,151 ","$14,183,728,910 ","$42,208 ","$44,169 "
12/31/2023,"$826,609,156,661 ","$14,727,224,645 ","$42,221 ","$42,208 "
12/30/2023,"$822,933,961,871 ","$24,832,397,519 ","$42,075 ","$42,221 "
12/29/2023,"$836,073,458,798 ","$20,336,573,644 ","$42,601 ","$42,075 "
12/28/2023,"$849,194,163,327 ","$23,244,754,807 ","$43,418 ","$42,601 "
12/27/2023,"$832,471,600,532 ","$20,477,744,540 ","$42,516 ","$43,418 "
12/26/2023,"$854,524,607,073 ","$18,744,716,867 ","$43,638 ","$42,516 "
12/25/2023,"$845,029,028,630 ","$18,313,974,070 ","$43,035 ","$43,638 "
12/24/2023,"$856,850,313,226 ","$9,872,050,976 ","$43,752 ","$43,035 "
12/23/2023,"$861,822,676,200 ","$20,833,936,535 ","$44,004 ","$43,752 "
12/22/2023,"$858,312,140,015 ","$21,948,638,203 ","$43,850 ","$44,004 "
12/21/2023,"$854,173,854,160 ","$28,334,648,886 ","$43,634 ","$43,850 "
12/20/2023,"$827,483,345,953 ","$23,402,523,668 ","$42,250 ","$43,634 "
12/19/2023,"$834,757,901,244 ","$26,473,040,427 ","$42,684 ","$42,250 "
12/18/2023,"$810,534,011,291 ","$16,536,428,696 ","$41,411 ","$42,684 "
12/17/2023,"$825,747,211,475 ","$13,524,832,238 ","$42,247 ","$41,411 "
12/16/2023,"$821,883,086,852 ","$17,134,765,249 ","$41,992 ","$42,247 "
12/15/2023,"$841,400,560,143 ","$22,978,695,605 ","$43,010 ","$41,992 "
12/14/2023,"$840,112,594,143 ","$26,301,358,636 ","$42,932 ","$43,010 "
12/13/2023,"$812,055,172,696 ","$24,919,333,991 ","$41,451 ","$42,932 "
12/12/2023,"$806,178,244,439 ","$39,734,542,164 ","$41,201 ","$41,451 "
12/11/2023,"$856,192,504,674 ","$11,865,167,562 ","$43,758 ","$41,201 "
12/10/2023,"$855,611,272,270 ","$17,074,228,506 ","$43,745 ","$43,758 "
12/9/2023,"$863,242,780,337 ","$24,726,661,393 ","$44,202 ","$43,745 "
12/8/2023,"$848,245,522,795 ","$27,712,048,105 ","$43,270 ","$44,202 "
12/7/2023,"$857,037,901,745 ","$30,306,637,688 ","$43,788 ","$43,270 "
12/6/2023,"$863,171,503,830 ","$37,740,677,040 ","$44,106 ","$43,788 "
12/5/2023,"$820,527,379,429 ","$40,273,974,905 ","$41,974 ","$44,106 "
12/4/2023,"$782,845,232,813 ","$14,107,800,649 ","$39,960 ","$41,974 "
12/3/2023,"$771,834,682,369 ","$14,892,418,344 ","$39,482 ","$39,960 "
12/2/2023,"$756,249,390,093 ","$24,470,176,252 ","$38,688 ","$39,482 "
12/1/2023,"$737,659,515,839 ","$16,566,770,728 ","$37,712 ","$38,688 "
11/30/2023,"$740,494,537,383 ","$20,964,545,195 ","$37,810 ","$37,712 "
11/29/2023,"$738,816,928,727 ","$19,715,537,241 ","$37,802 ","$37,810 "
11/28/2023,"$728,040,168,286 ","$17,979,133,248 ","$37,250 ","$37,802 "
11/27/2023,"$733,376,783,676 ","$10,229,112,671 ","$37,492 ","$37,250 "
11/26/2023,"$739,536,714,717 ","$7,505,379,785 ","$37,810 ","$37,492 "
11/25/2023,"$737,614,054,535 ","$22,996,708,652 ","$37,739 ","$37,810 "
11/24/2023,"$728,816,537,112 ","$11,956,046,627 ","$37,293 ","$37,739 "
11/23/2023,"$732,259,726,682 ","$25,245,202,377 ","$37,465 ","$37,293 "
11/22/2023,"$702,705,880,302 ","$18,891,503,535 ","$35,965 ","$37,465 "
11/21/2023,"$732,673,492,673 ","$16,005,284,775 ","$37,489 ","$35,965 "
11/20/2023,"$732,521,837,352 ","$12,599,067,948 ","$37,414 ","$37,489 "
11/19/2023,"$715,117,663,450 ","$8,877,846,889 ","$36,582 ","$37,414 "
11/18/2023,"$714,651,953,917 ","$22,683,923,624 ","$36,528 ","$36,582 "
11/17/2023,"$707,488,742,970 ","$12,023,334,732 ","$36,202 ","$36,528 "
11/16/2023,"$739,215,831,747 ","$28,479,730,068 ","$37,904 ","$36,202 "
11/15/2023,"$694,845,286,839 ","$22,330,924,588 ","$35,545 ","$37,904 "
11/14/2023,"$714,263,437,354 ","$18,041,088,204 ","$36,549 ","$35,545 "
11/13/2023,"$725,016,899,532 ","$8,831,221,164 ","$37,068 ","$36,549 "
11/12/2023,"$720,323,851,791 ","$12,033,297,220 ","$37,123 ","$37,068 "
11/11/2023,"$730,760,729,870 ","$23,152,060,053 ","$37,344 ","$37,123 "
11/10/2023,"$717,022,051,490 ","$38,190,964,507 ","$36,768 ","$37,344 "
11/9/2023,"$699,187,515,032 ","$14,717,120,833 ","$35,795 ","$36,768 "
11/8/2023,"$691,660,755,958 ","$18,582,602,380 ","$35,437 ","$35,795 "
11/7/2023,"$683,644,463,783 ","$12,717,348,150 ","$35,031 ","$35,437 "
11/6/2023,"$684,647,430,279 ","$12,796,779,678 ","$35,062 ","$35,031 "
11/5/2023,"$685,385,094,862 ","$10,001,404,423 ","$35,048 ","$35,062 "
11/4/2023,"$677,974,451,476 ","$17,254,049,537 ","$34,731 ","$35,048 "
11/3/2023,"$681,560,028,737 ","$20,690,186,422 ","$34,924 ","$34,731 "
11/2/2023,"$692,543,794,895 ","$18,642,295,525 ","$35,457 ","$34,924 "
11/1/2023,"$676,319,525,450 ","$16,419,150,929 ","$34,672 ","$35,457 "
10/31/2023,"$673,508,057,018 ","$17,075,173,424 ","$34,499 ","$34,672 "
10/30/2023,"$674,293,769,230 ","$10,359,013,389 ","$34,556 ","$34,499 "
10/29/2023,"$665,892,923,224 ","$8,431,785,275 ","$34,093 ","$34,556 "
10/28/2023,"$662,119,938,018 ","$14,148,818,689 ","$33,899 ","$34,093 "
10/27/2023,"$667,401,630,873 ","$17,712,548,550 ","$34,174 ","$33,899 "
10/26/2023,"$673,948,847,499 ","$23,840,463,172 ","$34,472 ","$34,174 "
10/25/2023,"$660,676,033,939 ","$46,464,714,676 ","$33,847 ","$34,472 "
10/24/2023,"$641,535,355,789 ","$35,558,857,925 ","$32,953 ","$33,847 "
10/23/2023,"$583,399,133,857 ","$11,330,304,246 ","$30,019 ","$32,953 "
10/22/2023,"$583,719,549,319 ","$7,452,489,477 ","$29,920 ","$30,019 "
10/21/2023,"$579,536,788,709 ","$23,561,406,298 ","$29,677 ","$29,920 "
10/20/2023,"$559,364,043,795 ","$11,193,923,144 ","$28,716 ","$29,677 "
10/19/2023,"$553,311,088,370 ","$13,461,030,458 ","$28,328 ","$28,716 "
10/18/2023,"$555,003,134,086 ","$10,403,248,077 ","$28,418 ","$28,328 "
10/17/2023,"$555,338,775,502 ","$22,792,799,562 ","$28,513 ","$28,418 "
10/16/2023,"$529,643,463,244 ","$6,604,845,643 ","$27,150 ","$28,513 "
10/15/2023,"$523,979,202,939 ","$5,543,160,607 ","$26,863 ","$27,150 "
10/14/2023,"$523,655,619,454 ","$14,344,414,896 ","$26,841 ","$26,863 "
10/13/2023,"$521,607,675,083 ","$10,867,640,259 ","$26,729 ","$26,841 "
10/12/2023,"$523,656,381,533 ","$14,608,441,296 ","$26,842 ","$26,729 "
10/11/2023,"$535,200,388,380 ","$10,151,720,984 ","$27,392 ","$26,842 "
10/10/2023,"$538,282,690,588 ","$7,640,029,989 ","$27,594 ","$27,392 "
10/9/2023,"$544,989,660,642 ","$7,141,598,447 ","$27,948 ","$27,594 "
10/8/2023,"$545,619,681,437 ","$7,226,218,925 ","$27,978 ","$27,948 "
10/7/2023,"$545,154,869,333 ","$13,817,979,025 ","$27,958 ","$27,978 "
10/6/2023,"$534,851,643,045 ","$13,376,186,563 ","$27,436 ","$27,958 "
10/5/2023,"$541,954,661,181 ","$10,876,597,601 ","$27,792 ","$27,436 "
10/4/2023,"$535,605,771,922 ","$12,676,657,038 ","$27,439 ","$27,792 "
10/3/2023,"$538,323,470,358 ","$18,127,133,424 ","$27,615 ","$27,439 "
10/2/2023,"$545,302,108,027 ","$9,358,226,524 ","$27,968 ","$27,615 "
10/1/2023,"$525,936,342,995 ","$6,295,435,108 ","$26,970 ","$27,968 "
9/30/2023,"$524,946,724,659 ","$9,059,145,545 ","$26,917 ","$26,970 "
9/29/2023,"$526,917,684,460 ","$16,683,207,555 ","$27,009 ","$26,917 "
9/28/2023,"$513,713,645,984 ","$12,889,674,588 ","$26,350 ","$27,009 "
9/27/2023,"$511,054,250,890 ","$9,786,025,048 ","$26,205 ","$26,350 "
9/26/2023,"$512,103,393,582 ","$11,974,957,450 ","$26,299 ","$26,205 "
9/25/2023,"$511,787,693,512 ","$7,226,298,594 ","$26,250 ","$26,299 "
9/24/2023,"$517,968,304,453 ","$6,583,511,186 ","$26,574 ","$26,250 "
9/23/2023,"$518,383,856,097 ","$9,968,041,759 ","$26,572 ","$26,574 "
9/22/2023,"$517,743,774,815 ","$8,169,328,791 ","$26,561 ","$26,572 "
9/21/2023,"$529,168,513,966 ","$13,497,179,077 ","$27,116 ","$26,561 "
9/20/2023,"$530,357,673,731 ","$12,615,959,842 ","$27,219 ","$27,116 "
9/19/2023,"$521,346,975,856 ","$16,477,839,825 ","$26,741 ","$27,219 "
9/18/2023,"$516,614,128,896 ","$5,791,146,184 ","$26,521 ","$26,741 "
9/17/2023,"$517,396,850,181 ","$1,224,363,672 ","$26,558 ","$26,521 "
9/16/2023,"$518,872,387,637 ","$9,768,889,420 ","$26,635 ","$26,558 "
9/15/2023,"$516,823,786,026 ","$11,739,428,177 ","$26,531 ","$26,635 "
9/14/2023,"$510,909,474,485 ","$12,975,855,576 ","$26,223 ","$26,531 "
9/13/2023,"$503,997,883,573 ","$16,825,266,473 ","$25,867 ","$26,223 "
9/12/2023,"$489,502,952,546 ","$14,859,931,201 ","$25,133 ","$25,867 "
9/11/2023,"$503,489,661,583 ","$6,603,006,234 ","$25,835 ","$25,133 "
9/10/2023,"$504,373,920,219 ","$404,806,433 ","$25,889 ","$25,835 "
9/9/2023,"$504,533,063,388 ","$8,058,794,339 ","$25,907 ","$25,889 "
9/8/2023,"$509,837,705,629 ","$4,521,997,781 ","$26,192 ","$25,907 "
9/7/2023,"$501,615,002,105 ","$12,225,427,271 ","$25,753 ","$26,192 "
9/6/2023,"$501,979,376,928 ","$7,633,735,597 ","$25,784 ","$25,753 "
9/5/2023,"$502,409,490,054 ","$6,700,578,092 ","$25,829 ","$25,784 "
9/4/2023,"$505,513,039,061 ","$8,301,138,495 ","$25,960 ","$25,829 "
9/3/2023,"$503,679,892,455 ","$8,203,515,573 ","$25,854 ","$25,960 "
9/2/2023,"$502,687,549,097 ","$15,924,588,669 ","$25,812 ","$25,854 "
9/1/2023,"$505,403,246,528 ","$20,360,682,650 ","$25,927 ","$25,812 "
8/31/2023,"$531,729,400,483 ","$16,029,914,124 ","$27,297 ","$25,927 "
8/30/2023,"$539,045,091,002 ","$29,462,388,819 ","$27,731 ","$27,297 "
8/29/2023,"$508,350,651,766 ","$9,995,933,796 ","$26,109 ","$27,731 "
8/28/2023,"$507,835,678,907 ","$4,743,752,357 ","$26,083 ","$26,109 "
8/27/2023,"$506,086,069,152 ","$3,420,999,388 ","$26,002 ","$26,083 "
8/26/2023,"$507,007,928,705 ","$2,582,213,806 ","$26,044 ","$26,002 "
8/25/2023,"$508,906,955,118 ","$11,961,319,631 ","$26,135 ","$26,044 "
8/24/2023,"$514,955,818,082 ","$14,600,566,342 ","$26,450 ","$26,135 "
8/23/2023,"$506,356,213,378 ","$13,702,941,053 ","$26,034 ","$26,450 "
8/22/2023,"$508,491,920,831 ","$9,377,753,161 ","$26,119 ","$26,034 "
8/21/2023,"$509,078,930,366 ","$8,304,370,132 ","$26,161 ","$26,119 "
8/20/2023,"$508,087,686,823 ","$3,355,038,749 ","$26,105 ","$26,161 "
8/19/2023,"$506,815,826,636 ","$18,062,351,746 ","$26,043 ","$26,105 "
8/18/2023,"$516,026,928,369 ","$29,965,585,683 ","$26,502 ","$26,043 "
8/17/2023,"$559,982,624,303 ","$14,809,979,642 ","$28,754 ","$26,502 "
8/16/2023,"$567,498,309,103 ","$11,523,395,158 ","$29,170 ","$28,754 "
8/15/2023,"$572,242,735,188 ","$12,408,355,477 ","$29,401 ","$29,170 "
8/14/2023,"$569,687,130,447 ","$4,755,220,449 ","$29,285 ","$29,401 "
8/13/2023,"$572,257,798,804 ","$3,994,297,895 ","$29,412 ","$29,285 "
8/12/2023,"$571,976,559,046 ","$4,651,950,358 ","$29,397 ","$29,412 "
8/11/2023,"$572,414,205,818 ","$8,106,253,519 ","$29,424 ","$29,397 "
8/10/2023,"$575,535,414,817 ","$14,633,310,097 ","$29,585 ","$29,424 "
8/9/2023,"$579,214,283,624 ","$14,603,570,419 ","$29,780 ","$29,585 "
8/8/2023,"$567,529,179,866 ","$13,252,185,122 ","$29,178 ","$29,780 "
8/7/2023,"$564,947,914,083 ","$5,360,283,576 ","$29,044 ","$29,178 "
8/6/2023,"$564,970,113,458 ","$5,335,308,729 ","$29,047 ","$29,044 "
8/5/2023,"$565,073,127,340 ","$12,112,869,086 ","$29,088 ","$29,047 "
8/4/2023,"$567,940,644,790 ","$12,539,132,810 ","$29,176 ","$29,088 "
8/3/2023,"$567,074,709,354 ","$19,266,318,894 ","$29,147 ","$29,176 "
8/2/2023,"$572,408,929,758 ","$15,289,922,841 ","$29,537 ","$29,147 "
8/1/2023,"$568,333,703,606 ","$6,641,808,341 ","$29,233 ","$29,537 "
7/31/2023,"$569,135,711,633 ","$7,872,881,637 ","$29,278 ","$29,233 "
7/30/2023,"$570,804,910,033 ","$4,882,536,541 ","$29,357 ","$29,278 "
7/29/2023,"$569,952,119,667 ","$7,682,754,827 ","$29,314 ","$29,357 "
7/28/2023,"$567,708,714,252 ","$9,047,649,540 ","$29,200 ","$29,314 "
7/27/2023,"$570,531,781,625 ","$13,088,677,750 ","$29,364 ","$29,200 "
7/26/2023,"$568,019,115,129 ","$7,929,844,775 ","$29,223 ","$29,364 "
7/25/2023,"$567,051,778,656 ","$15,195,244,951 ","$29,185 ","$29,223 "
7/24/2023,"$584,296,796,267 ","$7,427,606,999 ","$30,058 ","$29,185 "
7/23/2023,"$577,068,525,402 ","$6,745,541,065 ","$29,710 ","$30,058 "
7/22/2023,"$581,397,880,391 ","$8,492,627,981 ","$29,915 ","$29,710 "
7/21/2023,"$579,308,712,612 ","$11,117,456,853 ","$29,787 ","$29,915 "
7/20/2023,"$581,327,322,357 ","$8,545,620,844 ","$29,920 ","$29,787 "
7/19/2023,"$579,708,613,538 ","$13,152,758,553 ","$29,848 ","$29,920 "
7/18/2023,"$585,500,720,965 ","$10,974,383,372 ","$30,148 ","$29,848 "
7/17/2023,"$586,391,434,734 ","$8,356,410,454 ","$30,237 ","$30,148 "
7/16/2023,"$588,642,134,564 ","$6,233,916,919 ","$30,298 ","$30,237 "
7/15/2023,"$588,107,447,250 ","$21,977,151,421 ","$30,312 ","$30,298 "
7/14/2023,"$610,725,509,599 ","$21,254,274,346 ","$31,446 ","$30,312 "
7/13/2023,"$590,629,381,261 ","$13,072,555,444 ","$30,407 ","$31,446 "
7/12/2023,"$594,749,192,359 ","$11,753,418,050 ","$30,621 ","$30,407 "
7/11/2023,"$590,311,894,649 ","$12,835,219,757 ","$30,394 ","$30,621 "
7/10/2023,"$585,883,986,681 ","$7,559,670,230 ","$30,170 ","$30,394 "
7/9/2023,"$587,678,367,158 ","$5,608,541,982 ","$30,264 ","$30,170 "
7/8/2023,"$588,811,434,764 ","$13,018,507,893 ","$30,315 ","$30,264 "
7/7/2023,"$583,429,029,204 ","$21,776,707,864 ","$29,990 ","$30,315 "
7/6/2023,"$592,386,606,697 ","$10,260,132,141 ","$30,485 ","$29,990 "
7/5/2023,"$598,449,423,994 ","$12,403,890,725 ","$30,776 ","$30,485 "
7/4/2023,"$604,507,839,820 ","$14,755,008,157 ","$31,135 ","$30,776 "
7/3/2023,"$593,627,203,722 ","$7,236,318,144 ","$30,572 ","$31,135 "
7/2/2023,"$593,625,140,903 ","$4,210,431,244 ","$30,584 ","$30,572 "
7/1/2023,"$591,722,375,246 ","$21,422,361,051 ","$30,481 ","$30,584 "
